customer_city,payment_type,count
sao paulo,credit_card,12226
rio de janeiro,credit_card,5525
belo horizonte,credit_card,2233
brasilia,credit_card,1693
curitiba,credit_card,1136
campinas,credit_card,1078
porto alegre,credit_card,1054
salvador,credit_card,1018
guarulhos,credit_card,925
sao bernardo do campo,credit_card,727
niteroi,credit_card,684
santo andre,credit_card,612
osasco,credit_card,569
santos,credit_card,539
fortaleza,credit_card,537
goiania,credit_card,535
sao jose dos campos,credit_card,509
recife,credit_card,494
sorocaba,credit_card,476
florianopolis,credit_card,448
jundiai,credit_card,446
ribeirao preto,credit_card,399
nova iguacu,credit_card,368
contagem,credit_card,347
barueri,credit_card,343
juiz de fora,credit_card,341
belem,credit_card,332
sao goncalo,credit_card,315
uberlandia,credit_card,301
vitoria,credit_card,300
mogi das cruzes,credit_card,291
piracicaba,credit_card,285
carapicuiba,credit_card,262
sao luis,credit_card,258
maua,credit_card,258
vila velha,credit_card,257
sao jose do rio preto,credit_card,255
londrina,credit_card,251
praia grande,credit_card,247
campo grande,credit_card,239
sao caetano do sul,credit_card,232
teresina,credit_card,229
taboao da serra,credit_card,226
serra,credit_card,215
taubate,credit_card,213
duque de caxias,credit_card,211
diadema,credit_card,210
maringa,credit_card,210
joinville,credit_card,208
bauru,credit_card,204
maceio,credit_card,202
joao pessoa,credit_card,201
petropolis,credit_card,199
indaiatuba,credit_card,196
campos dos goytacazes,credit_card,194
cotia,credit_card,193
cuiaba,credit_card,189
sao carlos,credit_card,183
macae,credit_card,182
guaruja,credit_card,182
caxias do sul,credit_card,174
volta redonda,credit_card,174
americana,credit_card,171
aracaju,credit_card,171
suzano,credit_card,170
natal,credit_card,165
montes claros,credit_card,163
marilia,credit_card,159
canoas,credit_card,157
betim,credit_card,156
feira de santana,credit_card,152
blumenau,credit_card,146
limeira,credit_card,144
valinhos,credit_card,143
santana de parnaiba,credit_card,143
uberaba,credit_card,140
jacarei,credit_card,138
santa maria,credit_card,138
itaquaquecetuba,credit_card,135
pelotas,credit_card,132
sumare,credit_card,132
sao jose,credit_card,129
araraquara,credit_card,129
presidente prudente,credit_card,127
nova friburgo,credit_card,127
ipatinga,credit_card,127
cascavel,credit_card,126
itapevi,credit_card,126
embu das artes,credit_card,126
franca,credit_card,126
